,Channel_Name,x_coord,y_coord,z_coord,coil_type,kind,logno,scanno,cal,range,unit,unit_mul,coord_frame
93,F01,-0.037895000000000005,0.081462,0.032958,1,902,94,94,1.0,1e-06,107,0,4
94,F02,-0.041895,0.075462,0.038958,1,902,95,95,1.0,1e-06,107,0,4
95,F03,-0.044895000000000004,0.06746200000000001,0.044958,1,902,96,96,1.0,1e-06,107,0,4
96,F04,-0.047895,0.058462,0.048958,1,902,97,97,1.0,1e-06,107,0,4
97,F05,-0.049895,0.048462000000000005,0.052958,1,902,98,98,1.0,1e-06,107,0,4
98,F06,-0.050895,0.039462000000000004,0.056958,1,902,99,99,1.0,1e-06,107,0,4
99,F07,-0.050895,0.029462,0.059958,1,902,100,100,1.0,1e-06,107,0,4
100,F08,-0.050895,0.021462,0.062958,1,902,101,101,1.0,1e-06,107,0,4
101,F09,-0.041895,0.080462,0.025958,1,902,102,102,1.0,1e-06,107,0,4
102,F10,-0.046895000000000006,0.072462,0.030958,1,902,103,103,1.0,1e-06,107,0,4
103,F11,-0.048895,0.064462,0.035958,1,902,104,104,1.0,1e-06,107,0,4
104,F12,-0.051895000000000004,0.054462,0.040958,1,902,105,105,1.0,1e-06,107,0,4
105,F13,-0.052895000000000005,0.045462,0.044958,1,902,106,106,1.0,1e-06,107,0,4
106,F14,-0.054895000000000006,0.036462,0.046958,1,902,107,107,1.0,1e-06,107,0,4
107,F15,-0.054895000000000006,0.027462,0.051958,1,902,108,108,1.0,1e-06,107,0,4
108,F16,-0.056895,0.019462,0.055958,1,902,109,109,1.0,1e-06,107,0,4
109,thor+,,,,0,302,110,110,1.0,1e-06,107,0,4
110,abdo+,,,,0,302,111,111,1.0,1e-06,107,0,4
111,MKR2+,,,,0,3,112,112,1.0,1e-06,-1,0,4
